Data de lançamento;Empresa;Conta;Referência;Nº documento;Chave de lançamento;Segmento;Elemento PEP;Centro custo;Centro de lucro;Texto;Moeda interna 2;Montante em MI2;Moeda interna;Montante em moeda interna
9/30/2025;F037;604100;282;100111283;40;CBL_100;HRP_CANADA*SALES;;110;1650413 Ontario 2.5h * 100;EUR;155.95;CAD;250.00
10/31/2025;F037;604100;283;1900005302;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;1650413 Ontario 20h * 100;EUR;1,234.04;CAD;2,000.00
10/31/2025;F037;604100;283;1900005302;40;CBL_100;BSF*HRPC*CR014;;110;1650413 Ontario 31h * 100;EUR;1,912.75;CAD;3,100.00
10/31/2025;F037;604100;283;1900005302;40;CBL_000;BCFSA*HRPC*AMES;;990;1650413 Ontario 12h * 100;EUR;740.42;CAD;1,200.00
10/31/2025;F037;604100;283;1900005302;40;CBL_000;NRM*AMES;;990;1650413 Ontario 23.5h * 100;EUR;1,449.99;CAD;2,350.00
10/31/2025;F037;604100;283;1900005302;40;CBL_100;HRP_CANADA*SALES;;110;1650413 Ontario 11h * 100;EUR;678.72;CAD;1,100.00
11/30/2025;F037;604100;284;1900005456;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;1650413 Ontario 6h * 110;EUR;407.16;CAD;660.00
11/30/2025;F037;604100;284;1900005456;40;CBL_100;BSF*HRPC*CR014;;110;1650413 Ontario 10.5h * 110;EUR;712.52;CAD;1,155.00
11/30/2025;F037;604100;284;1900005456;40;CBL_000;BCFSA*HRPC*AMES;;990;1650413 Ontario 1h * 110;EUR;67.86;CAD;110.00
11/30/2025;F037;604100;284;1900005456;40;CBL_000;NRM*AMES;;990;1650413 Ontario 18.5h * 110;EUR;1,255.40;CAD;2,035.00
12/31/2025;F037;604100;285;1900005623;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;1650413 Ontario 15h * 110;EUR;1,025.62;CAD;1,650.00
12/31/2025;F037;604100;285;1900005623;40;CBL_100;BSF*HRPC*CR014;;110;1650413 Ontario 16.5h * 110;EUR;1,128.17;CAD;1,815.00
12/31/2025;F037;604100;285;1900005623;40;CBL_000;BCFSA*HRPC*AMES;;990;1650413 Ontario 15h * 110;EUR;1,025.61;CAD;1,650.00
12/31/2025;F037;604100;285;1900005623;40;CBL_000;NRM*AMES;;990;1650413 Ontario 20h * 110;EUR;1,367.48;CAD;2,200.00
12/31/2025;F037;604100;285;1900005623;40;CBL_000;IMPGROUP*HRPC*AMES;;990;1650413 Ontario 1h * 110;EUR;68.37;CAD;110.00
12/31/2025;F037;604100;285;1900005623;40;CBL_100;HRP_CANADA*BENCH;;110;1650413 Ontario 5h * 110;EUR;341.87;CAD;550.00
1/31/2026;F037;604100;286;1900005794;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;1650413 Ontario 8h * 110;EUR;545.91;CAD;880.00
1/31/2026;F037;604100;286;1900005794;40;CBL_100;BSF*HRPC_AMES;;110;1650413 Ontario 23.5h * 110;EUR;1,603.60;CAD;2,585.00
1/31/2026;F037;604100;286;1900005794;40;CBL_000;BCFSA*HRPC*AMES;;990;1650413 Ontario 6.5h * 110;EUR;443.55;CAD;715.00
1/31/2026;F037;604100;286;1900005794;40;CBL_000;NRM*AMES;;990;1650413 Ontario 11.5h * 110;EUR;784.74;CAD;1,265.00
1/31/2026;F037;604100;286;1900005794;40;CBL_000;IMPGROUP*HRPC*AMES;;990;1650413 Ontario 1h * 110;EUR;68.24;CAD;110.00
1/31/2026;F037;604100;286;1900005794;40;CBL_100;HRP_CANADA*BENCH;;110;1650413 Ontario 5.5h * 110;EUR;375.31;CAD;605.00
4/30/2025;F037;604100;HP-011;1900004500;40;CBL_000;HRPC*RESOLUTE;;990;;EUR;1,888.35;CAD;2,970.00
4/30/2025;F037;604100;HP-011;1900004500;40;CBL_000;BCFSA*HRPC_ENHANCEMENTS;;990;;EUR;171.67;CAD;270.00
5/31/2025;F037;604100;HP-012;1900004613;40;CBL_000;HRPC*RESOLUTE;;990;;EUR;1,897.04;CAD;2,970.00
5/31/2025;F037;604100;HP-012;1900004613;40;CBL_000;BCFSA*HRPC_ENHANCEMENTS;;990;;EUR;172.46;CAD;270.00
5/31/2025;F037;604100;HP-012;1900004613;40;CBL_000;HRPC*VIA_TGF;;990;;EUR;1,379.66;CAD;2,160.00
6/30/2025;F037;604100;HP-013;1900004738;40;CBL_000;HRPC*RESOLUTE;;990;;EUR;1,689.94;CAD;2,700.00
6/30/2025;F037;604100;HP-013;1900004738;40;CBL_000;UFA*HRPC_AMES;;990;;EUR;253.49;CAD;405.00
6/30/2025;F037;604100;HP-013;1900004738;40;CBL_000;HRPC*VIA_TGF;;990;;EUR;1,858.92;CAD;2,970.00
7/31/2025;F037;604100;HP-014;1900004856;40;CBL_000;UFA*HRPC_AMES;;990;;EUR;3,886.84;CAD;6,210.00
7/31/2025;F037;604100;HP-014;1900004856;40;CBL_000;HRPC*VIA_TGF;;990;;EUR;1,267.45;CAD;2,025.00
7/31/2025;F037;604100;HP-014;1900004856;40;CBL_000;BCFSA*HRPC_ENHANCEMENTS;;990;;EUR;168.99;CAD;270.00
8/31/2025;F037;604100;HP-015;1900004963;40;CBL_000;UFA*HRPC_AMES;;990;;EUR;4,884.29;CAD;7,830.00
8/31/2025;F037;604100;HP-015;1900004963;40;CBL_000;HRPC*VIA_TGF;;990;;EUR;2,442.14;CAD;3,915.00
9/30/2025;F037;604100;HP-016;1900005116;40;SAP;UFA*COMP VP;;SAPSF;;EUR;4,210.59;CAD;6,750.00
9/30/2025;F037;604100;HP-016;1900005116;40;CBL_100;KGS*HRPC*PROJECT;;110;;EUR;673.69;CAD;1,080.00
11/1/2025;F037;604100;HP-017;1900005428;40;SAP;UFA*COMP VP;;SAPSF;;EUR;6,247.30;CAD;10,125.00
11/1/2025;F037;604100;HP-017;1900005428;40;CBL_100;KGS*HRPC*PROJECT;;110;;EUR;4,747.95;CAD;7,695.00
11/1/2025;F037;604100;HP-017;1900005428;40;CBL_000;BCFSA*HRPC*AMES;;990;;EUR;416.49;CAD;675.00
11/30/2025;F037;604100;HP-018;1900005434;40;SAP;UFA*COMP VP;;SAPSF;;EUR;3,331.28;CAD;5,400.00
11/30/2025;F037;604100;HP-018;1900005434;40;CBL_100;KGS*HRPC*PROJECT;;110;;EUR;3,997.53;CAD;6,480.00
11/30/2025;F037;604100;HP-018;1900005434;40;CBL_000;BCFSA*HRPC*AMES;;990;;EUR;499.69;CAD;810.00
11/30/2025;F037;604100;HP-018;1900005434;40;SAP;LIVINGSTON*COMP SUPPORT;;SAPSF;;EUR;416.41;CAD;675.00
12/31/2025;F037;604100;HP-019;1900005628;40;CBL_000;BCFSA*HRPC*AMES;;990;;EUR;755.23;CAD;1,215.00
12/31/2025;F037;604100;HP-019;1900005628;40;CBL_000;WOODBRIDGE*AMES;;990;;EUR;1,258.70;CAD;2,025.00
12/31/2025;F037;604100;HP-019;1900005628;40;SAP;UFA*COMP VP;;SAPSF;;EUR;4,195.67;CAD;6,750.00
12/31/2025;F037;604100;HP-019;1900005628;40;SAP;LIVINGSTON*COMP SUPPORT;;SAPSF;;EUR;1,174.79;CAD;1,890.00
1/31/2026;F037;604100;HP-020;1900005795;40;CBL_000;BCFSA*HRPC*AMES;;990;;EUR;921.22;CAD;1,485.00
1/31/2026;F037;604100;HP-020;1900005795;40;CBL_000;WOODBRIDGE*AMES;;990;;EUR;7,872.21;CAD;12,690.00
1/31/2026;F037;604100;HP-020;1900005795;40;CBL_100;KGS*HRPC*PROJECT;;110;;EUR;83.75;CAD;135.00
1/31/2026;F037;604100;HP-020;1900005795;40;SAP;LIVINGSTON*COMP SUPPORT;;SAPSF;;EUR;1,423.70;CAD;2,295.00
12/10/2025;F037;604100;AME ‐ 1674;1900005600;40;CBL_100;HRPC*COOP MVP CR;;110;AMERICAN EXPORT 11.25;EUR;389.07;CAD;630.68
11/30/2025;F037;604100;;100115203;40;CBL_100;HRPC*COOP MVP CR;;110;ARTURO OOZCO 11.25 - 4.5H * 125;EUR;347.01;CAD;562.50
12/1/2025;F037;604100;;100115266;50;CBL_100;HRPC*COOP MVP CR;;110;ARTURO OOZCO 11.25 - 4.5H * 125;EUR;-347.01;CAD;-562.50
7/1/2025;F037;604100;000002;1900004857;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 176H/125 - 06.25;EUR;13,769.80;CAD;22,000.00
8/31/2025;F037;604100;000003;1900004960;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 168H/125 - 08.25;EUR;13,099.62;CAD;21,000.00
8/31/2025;F037;604100;000003;1900004961;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 168H/125 - 08.25;EUR;12,475.83;CAD;20,000.00
9/30/2025;F037;604100;000004;1900005115;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 168H/125 - 09.25;EUR;12,475.83;CAD;20,000.00
10/31/2025;F037;604100;000005;1900005299;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 176H/125 - 10.25;EUR;13,574.38;CAD;22,000.00
11/30/2025;F037;604100;000006;1900005459;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 160H/125 - 11.25;EUR;12,338.06;CAD;20,000.00
12/31/2025;F037;604100;000007;1900005602;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 176H/125 - 12.25;EUR;13,674.79;CAD;22,000.00
1/31/2026;F037;604100;000008;1900005796;40;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 168H/125 - 01.26;EUR;13,027.30;CAD;21,000.00
8/31/2025;F037;604100;000003;3300000276;50;CBL_000;HRPC*RESOLUTE;;990;Cloudsol 168H/125 - 08.25;EUR;-13,099.62;CAD;-21,000.00
4/19/2025;F037;604100;2021-076;1900004586;40;CBL_100;HRP_CANADA*SALES;;110;5050211 Doug Patzelt;EUR;328.34;CAD;510.00
4/19/2025;F037;604100;2021-074;1900004587;40;CBL_000;HRPC*RESOLUTE;;990;5050211 Doug Patzelt 60H 150;EUR;5,794.12;CAD;9,000.00
4/30/2025;F037;604100;1305;1900004494;40;CBL_000;HRPC*RESOLUTE;;990;STEPHANIE GIARD;EUR;8,892.36;CAD;13,812.50
4/30/2025;F037;604100;1305;1900004507;40;CBL_000;HRPC*RESOLUTE;;990;STEPHANIE GIARD;EUR;8,742.37;CAD;13,750.00
5/31/2025;F037;604100;1321;1900004622;40;CBL_000;HRPC*RESOLUTE;;990;STEPHANIE GIARD;EUR;9,580.99;CAD;15,000.00
6/30/2025;F037;604100;1344;1900004739;40;CBL_000;HRPC*RESOLUTE;;990;STEPHANIE GIARD;EUR;7,823.75;CAD;12,500.00
7/31/2025;F037;604100;1355;1900004887;40;CBL_000;HRPC*RESOLUTE;;990;STEPHANIE GIARD;EUR;3,788.36;CAD;6,000.00
4/30/2025;F037;604100;1305;3300000241;50;CBL_000;HRPC*RESOLUTE;;990;STEPHANIE GIARD;EUR;-8,892.36;CAD;-13,812.50
4/30/2025;F037;604100;;100104419;40;CBL_100;PROCOM*PWC;;110;OBERSON CONSULTING 04.25;EUR;12,639.88;CAD;19,880.00
4/30/2025;F037;604100;;100104435;50;CBL_100;PROCOM*PWC;;110;OBERSON CONSULTING 04.25;EUR;-12,639.88;CAD;-19,880.00
11/1/2025;F037;604100;;100115204;50;CBL_100;PROCOM*PWC;;110;FNP PROCOM POUR YUGO TOSHIO DU BRESIL;EUR;-2,643.23;CAD;-4,000.00
4/30/2025;F037;604100;;100104420;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;FNP VAMSI;EUR;1,589.52;CAD;2,500.00
5/31/2025;F037;604100;;100105743;40;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;FNP VAMSI 05.25;EUR;279.45;CAD;437.50
5/31/2025;F037;604100;;100105743;40;CBL_000;PRIMACORP*HRPC*AMES;;990;FNP VAMSI 05.25;EUR;7,465.19;CAD;11,687.50
5/31/2025;F037;604100;;100105743;40;CBL_000;BCFSA*HRPC*AMES;;990;FNP VAMSI 05.25;EUR;119.76;CAD;187.50
5/31/2025;F037;604100;;100105743;40;CBL_000;IMPGROUP*HRPC*AMES;;990;FNP VAMSI 05.25;EUR;159.68;CAD;250.00
5/31/2025;F037;604100;;100105743;40;CBL_100;BSF*HRPC_AMES;;110;FNP VAMSI 05.25;EUR;4,870.34;CAD;7,625.00
5/31/2025;F037;604100;;100105743;40;CBL_000;LOOKOUTSTY*HRPC_AMES;;990;FNP VAMSI 05.25;EUR;79.84;CAD;125.00
6/30/2025;F037;604100;;100105811;50;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;FNP VAMSI 05.25;EUR;-279.45;CAD;-437.50
6/30/2025;F037;604100;;100105811;50;CBL_000;PRIMACORP*HRPC*AMES;;990;FNP VAMSI 05.25;EUR;-7,465.19;CAD;-11,687.50
6/30/2025;F037;604100;;100105811;50;CBL_000;BCFSA*HRPC*AMES;;990;FNP VAMSI 05.25;EUR;-119.76;CAD;-187.50
6/30/2025;F037;604100;;100105811;50;CBL_000;IMPGROUP*HRPC*AMES;;990;FNP VAMSI 05.25;EUR;-159.68;CAD;-250.00
6/30/2025;F037;604100;;100105811;50;CBL_100;BSF*HRPC_AMES;;110;FNP VAMSI 05.25;EUR;-4,870.34;CAD;-7,625.00
6/30/2025;F037;604100;;100105811;50;CBL_000;LOOKOUTSTY*HRPC_AMES;;990;FNP VAMSI 05.25;EUR;-79.84;CAD;-125.00
6/30/2025;F037;604100;;100107096;40;CBL_000;PRIMACORP*HRPC*AMES;;990;FNP VAMSI 06.25 30h*125;EUR;2,347.12;CAD;3,750.00
7/1/2025;F037;604100;;100107144;50;CBL_100;SASKATOON_C*HRPC*PHASE1;;110;FNP VAMSI;EUR;-1,589.52;CAD;-2,500.00
7/1/2025;F037;604100;;100107145;50;CBL_000;PRIMACORP*HRPC*AMES;;990;FNP VAMSI 06.25 30h*125;EUR;-2,347.12;CAD;-3,750.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;BCFSA*HRPC*AMES_ADMIN;;990;Huge Consultancy 10H 11.25;EUR;524.37;CAD;850.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_100;BSF*HRPC_AMES;;110;Huge Consultancy 0.5H 11.25;EUR;26.22;CAD;42.50
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_100;BRAMPTON*AMES;;110;Huge Consultancy 4.5H 11.25;EUR;235.97;CAD;382.50
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_100;REGINA_CITY*AMES;;110;Huge Consultancy 21.5H 11.25;EUR;1,127.39;CAD;1,827.50
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_100;RICHMOND_CITY*HRPC*AMES;;110;Huge Consultancy 13.5H 11.25;EUR;707.90;CAD;1,147.50
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;IESO*AMES;;990;Huge Consultancy 3H 11.25;EUR;157.31;CAD;255.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;INFRASTRUC*ON_AMES;;990;Huge Consultancy 11.5H 11.25;EUR;603.02;CAD;977.50
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;HRP_CAN*LECLERC_AMES;;990;Huge Consultancy 3H 11.25;EUR;157.31;CAD;255.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_100;MARTINREA*AMES;;110;Huge Consultancy 2H 11.25;EUR;104.87;CAD;170.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;NRM*AMES;;990;Huge Consultancy 2H 11.25;EUR;104.87;CAD;170.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;SASKPOWER*AMES;;990;Huge Consultancy 1H 11.25;EUR;52.44;CAD;85.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;TRANSMOUNTAIN*AMS;;990;Huge Consultancy 7H 11.25;EUR;367.06;CAD;595.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;COUNTY_WELLINGTON*SF_P2;;990;Huge Consultancy 6H 11.25;EUR;314.62;CAD;510.00
11/30/2025;F037;604100;INV-0008;1900005462;40;CBL_000;WOODBRIDGE*AMES;;990;Huge Consultancy 8H 11.25;EUR;419.49;CAD;680.00
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_000;BCFSA*HRPC*AMES_ADMIN;;990;Huge Consultancy 5H 12.25;EUR;262.18;CAD;425.00
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_100;BRAMPTON*AMES;;110;Huge Consultancy 0.5H 12.25;EUR;26.22;CAD;42.50
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_100;REGINA_CITY*AMES;;110;Huge Consultancy 9.5H 12.25;EUR;498.15;CAD;807.50
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_100;RICHMOND_CITY*HRPC*AMES;;110;Huge Consultancy 18.5H 12.25;EUR;970.08;CAD;1,572.50
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_000;LOOKOUTSTY*HRPC_AMES;;990;Huge Consultancy 1.5H 12.25;EUR;78.66;CAD;127.50
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_000;HRP_CAN*LECLERC_AMES;;990;Huge Consultancy 3H 12.25;EUR;157.31;CAD;255.00
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_100;MARTINREA*AMES;;110;Huge Consultancy 2.5H 12.25;EUR;131.09;CAD;212.50
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_000;NRM*AMES;;990;Huge Consultancy 2H 12.25;EUR;104.87;CAD;170.00
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_000;TRANSMOUNTAIN*AMS;;990;Huge Consultancy 14.5H 12.25;EUR;760.33;CAD;1,232.50
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_000;COUNTY_WELLINGTON*SF_P2;;990;Huge Consultancy 1.5H 12.25;EUR;78.66;CAD;127.50
12/31/2025;F037;604100;INV-0009;1900005596;40;CBL_000;WOODBRIDGE*AMES;;990;Huge Consultancy 4.5H 12.25;EUR;235.97;CAD;382.50
1/31/2026;F037;604100;INV-0010;1900005786;40;CBL_000;BCFSA*HRPC*AMES_ADMIN;;990;Huge Consultancy 5H 01.26;EUR;264.17;CAD;425.00
1/31/2026;F037;604100;INV-0010;1900005786;40;CBL_100;BRAMPTON*AMES;;110;Huge Consultancy 1.5H 01.26;EUR;79.25;CAD;127.50
1/31/2026;F037;604100;INV-0010;1900005786;40;CBL_100;REGINA_CITY*AMES;;110;Huge Consultancy 12.5H 01.26;EUR;660.43;CAD;1,062.50
1/31/2026;F037;604100;INV-0010;1900005786;40;CBL_100;RICHMOND_CITY*HRPC*AMES;;110;Huge Consultancy 8H 01.26;EUR;422.68;CAD;680.00
1/31/2026;F037;604100;INV-0010;1900005786;40;CBL_000;CMS*HRPC*AMES;;990;Huge Consultancy 35H 01.26;EUR;1,849.20;CAD;2,975.00
1/31/2026;F037;604100;INV-0010;1900005786;40;CBL_000;COUNTY_WELLINGTON*SF_P2;;990;Huge Consultancy 12H 01.26;EUR;634.01;CAD;1,020.00
1/31/2026;F037;604100;INV-0010;1900005786;40;CBL_000;HRP_CAN*PJCCI_AMES;;990;Huge Consultancy 2.5H 01.26;EUR;132.09;CAD;212.50
11/30/2025;F037;604100;;100115202;40;SAP;CANDU*LMS IMP;;SAPSF;MARCEL BELZILE 10 et 11 2025 - 173H * 125;EUR;13,340.53;CAD;21,625.00
12/1/2025;F037;604100;;100116857;50;SAP;CANDU*LMS IMP;;SAPSF;MARCEL BELZILE 10 et 11 2025 - 173H * 125;EUR;-13,340.53;CAD;-21,625.00
11/30/2025;F037;604100;00048;1900005454;40;SAP;PROCOM*PWC*OPG SF;;SAPSF;Melgacorp Angel Millan 17.5H;EUR;1,079.58;CAD;1,750.00
12/31/2025;F037;604100;00049;1900005612;40;SAP;PROCOM*PWC*OPG SF;;SAPSF;Melgacorp Angel Millan 5H;EUR;310.79;CAD;500.00
1/1/2026;F037;604100;00048;1900005788;40;SAP;PROCOM*PWC*OPG SF;;SAPSF;Melgacorp Angel Millan 17.5H;EUR;1,489.36;CAD;2,396.09
1/1/2026;F037;604100;00049;1900005789;40;SAP;PROCOM*PWC*OPG SF;;SAPSF;Melgacorp Angel Millan 5H;EUR;425.53;CAD;684.60
1/31/2026;F037;604100;00056;1900005804;40;CBL_000;LOOKOUTSTY*HRPC_AMES;;990;Melgacorp Angel Millan 6.5H;EUR;545.35;CAD;879.10
1/31/2026;F037;604100;;100119003;40;SAP;CANDU*LMS IMP;;SAPSF;FNP Marcel Belzile;EUR;14,069.48;CAD;22,680.00
12/1/2025;F037;604100;114;1900005590;40;SAP;CANDU*LMS IMP;;SAPSF;MLCMM 10.25 40H;EUR;3,331.28;CAD;5,400.00
12/1/2025;F037;604100;117;1900005591;40;SAP;CANDU*LMS IMP;;SAPSF;MLCMM 10.25 128H*135;EUR;10,660.09;CAD;17,280.00
12/31/2025;F037;604100;119;1900005592;40;SAP;CANDU*LMS IMP;;SAPSF;MLCMM 12.25 176H*135;EUR;14,657.62;CAD;23,760.00
4/30/2025;F037;604100;;100104142;50;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;-14,947.68;CAD;-24,416.18
4/30/2025;F037;604100;;100104143;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
5/31/2025;F037;604100;;100104144;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
6/30/2025;F037;604100;;100104145;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
7/31/2025;F037;604100;;100104146;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
8/31/2025;F037;604100;;100104147;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
9/30/2025;F037;604100;;100104148;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
10/31/2025;F037;604100;;100104149;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
11/30/2025;F037;604100;;100104150;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
12/31/2025;F037;604100;;100104151;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
1/31/2026;F037;604100;;100104152;40;CBL_100;HRP_CANADA*ADMIN;;110;NET2APPS LICENCES 02.25 AU 01.26 / 17000;EUR;1,494.77;CAD;2,441.62
6/30/2025;F037;604100;;100107116;40;CBL_000;SASKPOWER*AMES;;990;Om Awasthi 4.75*125 - 06.25;EUR;371.63;CAD;593.75
6/30/2025;F037;604100;;100107116;40;CBL_100;BSF*HRPC*CR012;;110;Om Awasthi 16.5*125 - 06.25;EUR;1,290.92;CAD;2,062.50
6/30/2025;F037;604100;;100107116;40;CBL_000;PRIMACORP*HRPC*AMES;;990;Om Awasthi 89*125 - 06.25;EUR;6,963.13;CAD;11,125.00
6/30/2025;F037;604100;;100107116;40;SAP;KGS*POSITION_MGNT_DESIGN;;SAPSF;Om Awasthi 2.5*125 - 06.25;EUR;195.59;CAD;312.50
7/1/2025;F037;604100;;100107149;50;CBL_000;SASKPOWER*AMES;;990;Om Awasthi 4.75*125 - 06.25;EUR;-371.63;CAD;-593.75
7/1/2025;F037;604100;;100107149;50;CBL_100;BSF*HRPC*CR012;;110;Om Awasthi 16.5*125 - 06.25;EUR;-1,290.92;CAD;-2,062.50
7/1/2025;F037;604100;;100107149;50;CBL_000;PRIMACORP*HRPC*AMES;;990;Om Awasthi 89*125 - 06.25;EUR;-6,963.13;CAD;-11,125.00
7/1/2025;F037;604100;;100107149;50;SAP;KGS*POSITION_MGNT_DESIGN;;SAPSF;Om Awasthi 2.5*125 - 06.25;EUR;-195.59;CAD;-312.50
1/31/2026;F037;604100;;100119002;40;CBL_000;ACERA*HRPC*AMES;;990;FNP Om awasthi;EUR;232.63;CAD;375.00
