ChAc;G/L Acct;B/S acct;G/L acct;Group Acct;Date;Created by;AT;AcGp;Samp. acct;Tr.Prt;DelFl;Crtn.block;Pstg block;Plan.block;Search Term;Func. Area;Short Text;G/L Acct Long Text;G/L long text;P&L LVL 1;P&L LVL 2;P&L LVL 3;P&L LVL 4;P&L LVL 5;P&L LVL 6;P&L LVL 7
PCOP;207000;X;207000;;30.11.2010;PDUP;;BIL.;;;;;;;;;Goodwill;Goodwill;GOODWILL;;;;;;;
PCOP;208000;X;208000;;14.02.2007;CBL;;IMMO;;;;;;;;;Other intangible fix;Other intangible fixed assets;OTHER INTANGIBLE FIXED AS;;;;;;;
PCOP;210000;X;210000;;28.12.2007;IGE;;SAKO;;;;;;;;;Non-operating fixed;Non-operating fixed assets;NON-OPERATING FIXED ASSET;;;;;;;
PCOP;213810;X;213810;;26.06.2019;CENSIO;;IMMO;;;;;;;;;Infrastructure works;Infrastructure works (roads, etc.);INFRASTRUCTURE WORKS (ROA;;;;;;;
PCOP;218100;X;218100;;14.02.2007;CBL;;IMMO;;;;;;;;;Other tangible fixed;Other tangible fixed assets (general installations;OTHER TANGIBLE FIXED ASSE;;;;;;;
PCOP;218200;X;218200;;14.02.2007;CBL;;IMMO;;;;;;;;;Other tangible fixed;Other tangible fixed assets (transport equipment);OTHER TANGIBLE FIXED ASSE;;;;;;;
PCOP;218300;X;218300;;14.02.2007;CBL;;SAKO;;;;;;;;;Other tangible fixed;Other tangible fixed assets (office and IT equipme;OTHER TANGIBLE FIXED ASSE;;;;;;;
PCOP;218310;X;218310;;30.01.2008;IGE;;IMMO;;;;;;;;;Other tangible asset;Other tangible assets (office and IT equ;OTHER TANGIBLE ASSETS (OF;;;;;;;
PCOP;218400;X;218400;;14.02.2007;CBL;;IMMO;;;;;;;;;Other tangible fixed;Other tangible fixed assets (furniture);OTHER TANGIBLE FIXED ASSE;;;;;;;
PCOP;218410;X;218410;;14.02.2007;CBL;;IMMO;;;;;;;;;Other tangible fixed;Other tangible fixed assets (furniture) Lille;OTHER TANGIBLE FIXED ASSE;;;;;;;
PCOP;220000;X;220000;;13.01.2025;8417;;SAKO;;;;;;;;;Land;Land;LAND;;;;;;;
PCOP;222000;X;222000;;13.01.2025;8417;;SAKO;;;;;;;;;Developed land;Developed land;DEVELOPED LAND;;;;;;;
PCOP;232000;X;232000;;12.01.2012;PDUP;;BIL.;;;;;;;;;Intangible assets in;Intangible assets in progress;INTANGIBLE ASSETS IN PROG;;;;;;;
PCOP;238800;X;238800;;14.02.2007;CBL;;IMMO;;;;;;;;;Advances and payment;Advances and payments on account for tangible fixe;ADVANCES AND PAYMENTS ON;;;;;;;
PCOP;238801;X;238801;;09.05.2018;JGUE;;BIL.;;;;;;;;;AVCES & ACPTES VERSE;AVCES & ACPTES VERSES/CDES.D'IMMOB.CORP.;AVCES & ACPTES VERSES/CDE;;;;;;;
PCOP;250000;X;250000;;14.02.2007;CBL;;SAKO;;;;;;;;;Related companies -;Related companies - shares and receivables;RELATED COMPANIES - SHARE;;;;;;;
PCOP;261100;X;261100;;14.02.2007;CBL;;BIL.;;;;;;;;;Equity investments (;Equity investments (shares);EQUITY INVESTMENTS (SHARE;;;;;;;
PCOP;261800;X;261800;;14.02.2007;CBL;;BIL.;;;;;;;;;Equity investments (;Equity investments (other securities);EQUITY INVESTMENTS (OTHER;;;;;;;
PCOP;266000;X;266000;;14.02.2007;CBL;;BIL.;;;;;;;;;Other forms of equit;Other forms of equity investment;OTHER FORMS OF EQUITY INV;;;;;;;
PCOP;267100;X;267100;;14.02.2007;CBL;;BIL.;;;;;;;;;Receivables related;Receivables related to equity investments (group);RECEIVABLES RELATED TO EQ;;;;;;;
PCOP;267400;X;267400;;14.02.2007;CBL;;BIL.;;;;;;;;;Receivables related;Receivables related to equity investments (outside;RECEIVABLES RELATED TO EQ;;;;;;;
PCOP;267800;X;267800;;14.02.2007;CBL;;BIL.;;;;;;;;;Accrued interest;Accrued interest;ACCRUED INTEREST;;;;;;;
PCOP;269000;X;269000;;04.12.2014;PDUP;;BIL.;;;;;;;;;A VERSER TITRES PART;RESTE A VERSER TITRES DE PARTICIPATION (;RESTE A VERSER TITRES DE;;;;;;;
PCOP;274200;X;274200;;14.02.2007;CBL;;BIL.;;;;;;;;;Loans to partners;Loans to partners;LOANS TO PARTNERS;;;;;;;
PCOP;274300;X;274300;;14.02.2007;CBL;;BIL.;;;;;;;;;Loans to staff;Loans to staff;LOANS TO STAFF;;;;;;;
PCOP;275100;X;275100;;14.02.2007;CBL;;BIL.;;;;;;;;;Deposits paid;Deposits paid;DEPOSITS PAID;;;;;;;
PCOP;275200;X;275200;;04.01.2021;JGUE;;BIL.;;;;;;;;;Factor Guarantee;Factor Guarantee;FACTOR GUARANTEE;;;;;;;
PCOP;275500;X;275500;;14.02.2007;CBL;;BIL.;;;;;;;;;Guarantees paid;Guarantees paid;GUARANTEES PAID;;;;;;;
PCOP;276100;X;276100;;14.02.2007;CBL;;BIL.;;;;;;;;;Receivables related;Receivables related to equity investments;RECEIVABLES RELATED TO EQ;;;;;;;
PCOP;276840;X;276840;;14.02.2007;CBL;;BIL.;;;;;;;;;Accrued interest (on;Accrued interest (on loans);ACCRUED INTEREST (ON LOAN;;;;;;;
PCOP;276850;X;276850;;15.02.2007;CBL;;BIL.;;;;;;;;;Accrued interest (on;Accrued interest (on deposits and guarantees);ACCRUED INTEREST (ON DEPO;;;;;;;
PCOP;276880;X;276880;;15.02.2007;CBL;;BIL.;;;;;;;;;Accrued interest (on;Accrued interest (on other receivables);ACCRUED INTEREST (ON OTHE;;;;;;;
PCOP;277100;X;277100;;30.01.2013;PDUP;;BIL.;;;;;;;;;TITRES AUTODETENUS;TITRES AUTODETENUS;TITRES AUTODETENUS;;;;;;;
PCOP;280100;X;280100;;20.06.2011;PDUP;;BIL.;;;;;;;;;Amortization of inco;Amortization of incorporation costs;AMORTIZATION OF INCORPORA;;;;;;;
PCOP;280500;X;280500;;30.01.2008;IGE;;IMMO;;;;;;;;;Amortization of pate;Amortization of patents and licenses;AMORTIZATION OF PATENTS A;;;;;;;
PCOP;280800;X;280800;;15.02.2007;CBL;;IMMO;;;;;;;;;Amortization of othe;Amortization of other intangible fixed assets;AMORTIZATION OF OTHER INT;;;;;;;
PCOP;281180;X;281180;;07.05.2019;JGUE;;IMMO;;;;;;;;;Amortization of buil;Amortization of buildings;AMORTIZATION OF BUILDINGS;;;;;;;
PCOP;281350;X;281350;;15.02.2007;CBL;;IMMO;;;;;;;;;Amortization of gene;Amortization of general installations;AMORTIZATION OF GENERAL I;;;;;;;
PCOP;281800;X;281800;;11.02.2009;JCO;;BIL.;;;;;;;;;Amortization of tang;Amortization of tangible fixed assets (situational;AMORTIZATION OF TANGIBLE;;;;;;;
PCOP;281820;X;281820;;11.02.2009;JCO;;IMMO;;;;;;;;;Amortization of tang;Amortization of tangible fixed assets (vehicles);AMORTIZATION OF TANGIBLE;;;;;;;
PCOP;281830;X;281830;;15.02.2007;CBL;;IMMO;;;;;;;;;Amortization of tang;Amortization of tangible fixed assets (office and;AMORTIZATION OF TANGIBLE;;;;;;;
PCOP;281831;X;281831;;30.01.2008;IGE;;IMMO;;;;;;;;;Amortization of tang;Amortization of tangible fixed assets (office and;AMORTIZATION OF TANGIBLE;;;;;;;
PCOP;281840;X;281840;;15.02.2007;CBL;;IMMO;;;;;;;;;Amortization of tang;Amortization of tangible fixed assets (furniture);AMORTIZATION OF TANGIBLE;;;;;;;
PCOP;281841;X;281841;;15.02.2007;CBL;;IMMO;;;;;;;;;Amortization of tang;Amortization of tangible fixed assets (furniture);AMORTIZATION OF TANGIBLE;;;;;;;
PCOP;290800;X;290800;;15.02.2007;CBL;;SAKO;;;;;;;;;Provision for other;Provision for other intangible fixed assets;PROVISION FOR OTHER INTAN;;;;;;;
PCOP;293180;X;293180;;15.02.2007;CBL;;SAKO;;;;;;;;;Provision for tangib;Provision for tangible fixed assets in progress;PROVISION FOR TANGIBLE FI;;;;;;;
PCOP;296110;X;296110;;15.02.2007;CBL;;BIL.;;;;;;;;;Provision for equity;Provision for equity investments (shares);PROVISION FOR EQUITY INVE;;;;;;;
PCOP;296180;X;296180;;15.02.2007;CBL;;BIL.;;;;;;;;;Provision for equity;Provision for equity investments (other securities;PROVISION FOR EQUITY INVE;;;;;;;
PCOP;297610;X;297610;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Provision for other;Provision for other receivables;PROVISION FOR OTHER RECEI;;;;;;;
PCOP;297688;X;297688;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Provision for accrue;Provision for accrued interest (on other receivabl;PROVISION FOR ACCRUED INT;;;;;;;
PCOP;345100;X;345100;;25.03.2007;CCOCUELLE;;MAT.;;;;;;;;;Services in progress;Services in progress - S1;SERVICES IN PROGRESS - S1;;;;;;;
PCOP;345200;X;345200;;25.03.2007;CCOCUELLE;;MAT.;;;;;;;;;Services in progress;Services in progress - S2;SERVICES IN PROGRESS - S2;;;;;;;
PCOP;345500;X;345500;;18.02.2009;JCO;;BIL.;;;;;;;;;Stock of technical e;Stock of technical equipment;STOCK OF TECHNICAL EQUIPM;;;;;;;
PCOP;393110;X;393110;;25.03.2007;CCOCUELLE;;MAT.;;;;;;;;;Provision for deprec;Provision for depreciation of products in progress;PROVISION FOR DEPRECIATIO;;;;;;;
PCOP;394100;X;394100;;11.06.2009;JCO;;BIL.;;;;;;;;;Provision for techni;Provision for technical stock;PROVISION FOR TECHNICAL S;;;;;;;
PCOP;394110;X;394110;;25.03.2007;CCOCUELLE;;MAT.;;;;;;;;;Provision for deprec;Provision for depreciation of studies in progress;PROVISION FOR DEPRECIATIO;;;;;;;
PCOP;394120;X;394120;;25.03.2007;CCOCUELLE;;MAT.;;;;;;;;;Provision for deprec;Provision for depreciation of studies in progress;PROVISION FOR DEPRECIATIO;;;;;;;
PCOP;394510;X;394510;;25.03.2007;CCOCUELLE;;MAT.;;;;;;;;;Provision for deprec;Provision for depreciation of services in progress;PROVISION FOR DEPRECIATIO;;;;;;;
PCOP;394520;X;394520;;25.03.2007;CCOCUELLE;;MAT.;;;;;;;;;Provision for deprec;Provision for depreciation of services in progress;PROVISION FOR DEPRECIATIO;;;;;;;
PCOP;401100;X;401100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers of goods o;Suppliers of goods or services (domestic);SUPPLIERS OF GOODS OR SER;;;;;;;
PCOP;401198;X;401198;;23.10.2017;JGUE;;BIL.;;;;;;;;;FOURN. INTERCO CORR.;FOURN. ACHATS DE BIENS OU PREST. (CORR.;FOURN. ACHATS DE BIENS OU;;;;;;;
PCOP;401199;X;401199;;23.10.2017;JGUE;;BIL.;;;;;;;;;FOURN. INTERCO CORR.;FOURN. ACHATS DE BIENS OU PREST. (CORREC;FOURN. ACHATS DE BIENS OU;;;;;;;
PCOP;401200;X;401200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers of goods o;Suppliers of goods or services (foreign);SUPPLIERS OF GOODS OR SER;;;;;;;
PCOP;401300;X;401300;;23.10.2017;JGUE;;RECO;;;;;;;;;Accounts Payable IC;Accounts Payable Interco;ACCOUNTS PAYABLE INTERCO;;;;;;;
PCOP;401998;X;401998;;13.11.2017;JGUE;;BIL.;;;;;;;;;FOURN. INTERCO CORR.;FOURN. ACHATS DE BIENS OU PREST. (CORR.;FOURN. ACHATS DE BIENS OU;;;;;;;
PCOP;401999;X;401999;;13.11.2017;JGUE;;BIL.;;;;;;;;;FOURN. INTERCO CORR.;FOURN. ACHATS DE BIENS OU PREST. (CORREC;FOURN. ACHATS DE BIENS OU;;;;;;;
PCOP;403100;X;403100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Supplier payments pe;Supplier payments pending;SUPPLIER PAYMENTS PENDING;;;;;;;
PCOP;404100;X;404100;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Suppliers of fixed a;Suppliers of fixed assets;SUPPLIERS OF FIXED ASSETS;;;;;;;
PCOP;404200;X;404200;;16.02.2009;JCO;;RECO;;;;;;;;;Suppliers of fixed a;Suppliers of fixed assets (foreign);SUPPLIERS OF FIXED ASSETS;;;;;;;
PCOP;408100;X;408100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers - invoices;Suppliers - invoices not received (domestic);SUPPLIERS - INVOICES NOT;;;;;;;
PCOP;408110;X;408110;;16.07.2008;JCO;;BIL.;;;;;;;;;Suppliers - invoices;Suppliers - invoices not received;SUPPLIERS - INVOICES NOT;;;;;;;
PCOP;408120;X;408120;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Goods received - inv;Goods received - invoice/purchase;GOODS RECEIVED - INVOICE/;;;;;;;
PCOP;408129;X;408129;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Goods received - inv;Goods received - invoice/purchase (correction);GOODS RECEIVED - INVOICE/;;;;;;;
PCOP;408131;X;408131;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Estimated transport;Estimated transport costs;ESTIMATED TRANSPORT COSTS;;;;;;;
PCOP;408132;X;408132;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Transport costs - in;Transport costs - invoice to be received;TRANSPORT COSTS - INVOICE;;;;;;;
PCOP;408141;X;408141;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Estimated customs co;Estimated customs costs;ESTIMATED CUSTOMS COSTS;;;;;;;
PCOP;408142;X;408142;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Customs costs - invo;Customs costs - invoice to be received;CUSTOMS COSTS - INVOICE T;;;;;;;
PCOP;408150;X;408150;;04.01.2011;PDUP;;BIL.;;;;;;;;;Business estimated p;Business estimated provisions;BUSINESS ESTIMATED PROVIS;;;;;;;
PCOP;408151;X;408151;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Additional estimated;Additional estimated costs;ADDITIONAL ESTIMATED COST;;;;;;;
PCOP;408160;X;408160;;04.01.2011;PDUP;;BIL.;;;;;;;;;General expenses est;General expenses estimated provisions;GENERAL EXPENSES ESTIMATE;;;;;;;
PCOP;408200;X;408200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers - invoices;Suppliers - invoices not received (foreign);SUPPLIERS - INVOICES NOT;;;;;;;
PCOP;408400;X;408400;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers of fixed a;Suppliers of fixed assets - invoices not received;SUPPLIERS OF FIXED ASSETS;;;;;;;
PCOP;408800;X;408800;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers - accrued;Suppliers - accrued interest;SUPPLIERS - ACCRUED INTER;;;;;;;
PCOP;409100;X;409100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers - advances;Suppliers - advances and deposits (domestic);SUPPLIERS - ADVANCES AND;;;;;;;
PCOP;409200;X;409200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers - advances;Suppliers - advances and deposits (foreign);SUPPLIERS - ADVANCES AND;;;;;;;
PCOP;409800;X;409800;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers - rebates;Suppliers - rebates and credits not received;SUPPLIERS - REBATES AND C;;;;;;;
PCOP;409810;X;409810;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Suppliers - rebates;Suppliers - rebates and credits not received (dome;SUPPLIERS - REBATES AND C;;;;;;;
PCOP;409820;X;409820;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers - rebates;Suppliers - rebates and credits not received (fore;SUPPLIERS - REBATES AND C;;;;;;;
PCOP;409840;X;409840;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Suppliers of fixed a;Suppliers of fixed assets - rebates and credits no;SUPPLIERS OF FIXED ASSETS;;;;;;;
PCOP;409850;X;409850;;28.05.2012;PDUP;;BIL.;;;;;;;;;General expenses acc;General expenses accrued adjustments;GENERAL EXPENSES ACCRUED;;;;;;;
PCOP;409910;X;409910;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Supplier debtors;Supplier debtors;SUPPLIER DEBTORS;;;;;;;
PCOP;409999;X;409999;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Supplier requests fo;Supplier requests for advances;SUPPLIER REQUESTS FOR ADV;;;;;;;
PCOP;411100;X;411100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - sales of;Customers - sales of goods or services (domestic);CUSTOMERS - SALES OF GOOD;;;;;;;
PCOP;411198;X;411198;;23.10.2017;JGUE;;BIL.;;;;;;;;;CLTS INTERCO CORR.;CLTS VENTES DE BIENS OU PREST.SERV.(CORR;CLTS VENTES DE BIENS OU P;;;;;;;
PCOP;411199;X;411199;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Customers - sales of;Customers - sales of goods or services (correction;CUSTOMERS - SALES OF GOOD;;;;;;;
PCOP;411200;X;411200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - sales of;Customers - sales of goods or services (foreign);CUSTOMERS - SALES OF GOOD;;;;;;;
PCOP;411300;X;411300;;23.10.2017;JGUE;;RECO;;;;;;;;;Intercompany sales;Intercompany sales;INTERCOMPANY SALES;;;;;;;
PCOP;411700;X;411700;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - retentio;Customers - retention guarantees;CUSTOMERS - RETENTION GUA;;;;;;;
PCOP;411710;X;411710;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - retentio;Customers - retention guarantees (domestic);CUSTOMERS - RETENTION GUA;;;;;;;
PCOP;411720;X;411720;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - retentio;Customers - retention guarantees (foreign);CUSTOMERS - RETENTION GUA;;;;;;;
PCOP;411998;X;411998;;06.11.2017;JGUE;;BIL.;;;;;;;;;CLTS INTERCO CORR.;CLTS VENTES DE BIENS OU PREST.SERV.(CORR;CLTS VENTES DE BIENS OU P;;;;;;;
PCOP;411999;X;411999;;06.11.2017;JGUE;;BIL.;;;;;;;;;Receivables Factor;Receivables assigned Factor;RECEIVABLES ASSIGNED FACT;;;;;;;
PCOP;413000;X;413000;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customer receivables;Customer receivables;CUSTOMER RECEIVABLES;;;;;;;
PCOP;413100;X;413100;;16.12.2008;JCO;;BIL.;;;;;;;;;Notes receivable;Notes receivable;NOTES RECEIVABLE;;;;;;;
PCOP;413101;X;413101;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Customers - notes re;Customers - notes receivable;CUSTOMERS - NOTES RECEIVA;;;;;;;
PCOP;416000;X;416000;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Doubtful or disputed;Doubtful or disputed receivables;DOUBTFUL OR DISPUTED RECE;;;;;;;
PCOP;416100;X;416100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Doubtful or disputed;Doubtful or disputed receivables (domestic);DOUBTFUL OR DISPUTED RECE;;;;;;;
PCOP;416200;X;416200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Doubtful or disputed;Doubtful or disputed receivables (foreign);DOUBTFUL OR DISPUTED RECE;;;;;;;
PCOP;418000;X;418000;;27.07.2010;PDUP;;BIL.;;;;;;;;;Invoices to be issue;Invoices to be issued;INVOICES TO BE ISSUED;;;;;;;
PCOP;418100;X;418100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Invoices to be issue;Invoices to be issued (domestic);INVOICES TO BE ISSUED (DO;;;;;;;
PCOP;418110;X;418110;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Commissions to be re;Commissions to be received (estimates);COMMISSIONS TO BE RECEIVE;;;;;;;
PCOP;418120;X;418120;;17.07.2008;JCO;;BIL.;;;;;;;;;Invoices to be issue;Invoices to be issued (domestic);INVOICES TO BE ISSUED (DO;;;;;;;
PCOP;418200;X;418200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Invoices to be issue;Invoices to be issued (foreign);INVOICES TO BE ISSUED (FO;;;;;;;
PCOP;418800;X;418800;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Accrued interest fro;Accrued interest from customers;ACCRUED INTEREST FROM CUS;;;;;;;
PCOP;418900;X;418900;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Buffer account - pur;Buffer account - purchases on behalf of third part;BUFFER ACCOUNT - PURCHASE;;;;;;;
PCOP;419100;X;419100;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - advances;Customers - advances and deposits received (domest;CUSTOMERS - ADVANCES AND;;;;;;;
PCOP;419200;X;419200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - advances;Customers - advances and deposits received (foreig;CUSTOMERS - ADVANCES AND;;;;;;;
PCOP;419800;X;419800;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - rebates;Customers - rebates and credits to be issued;CUSTOMERS - REBATES AND C;;;;;;;
PCOP;419810;X;419810;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - rebates;Customers - rebates and credits to be issued (dome;CUSTOMERS - REBATES AND C;;;;;;;
PCOP;419820;X;419820;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Customers - rebates;Customers - rebates and credits to be issued (fore;CUSTOMERS - REBATES AND C;;;;;;;
PCOP;419840;X;419840;;13.05.2013;PDUP;;BIL.;;;;;;;;;Customers - credit n;Customers - credit notes to be issued;CUSTOMERS - CREDIT NOTES;;;;;;;
PCOP;419910;X;419910;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Customer creditors;Customer creditors;CUSTOMER CREDITORS;;;;;;;
PCOP;419999;X;419999;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Customer requests fo;Customer requests for advances;CUSTOMER REQUESTS FOR ADV;;;;;;;
PCOP;421000;X;421000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - salaries due;Staff - salaries due;STAFF - SALARIES DUE;;;;;;;
PCOP;422000;X;422000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Works council - esta;Works council - establishment level;WORKS COUNCIL - ESTABLISH;;;;;;;
PCOP;424600;X;424600;;23.09.2008;JCO;;BIL.;;;;;;;;;Employee participati;Employee participation;EMPLOYEE PARTICIPATION;;;;;;;
PCOP;425100;X;425100;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - advances on;Staff - advances on travel expenses;STAFF - ADVANCES ON TRAVE;;;;;;;
