WBS element,Name,Company code,Profit center (BU),Revenue Type,Direct/Ind./Interco,Countries (End Client),Sales Rep
COLLABERA*SUPPORT,TIG Collabera Consulting services,F079,TIG,Staff Aug.,,USA,
COLUMBUS_MCKINNON*AMS,Columbus McKinnon AMS,F055,SAP/SF US,AMS,Direct customer,USA,0
COLUMBUS_MCKINNON*PROJ,Columbus McKinnon ONB/Recruiting project,F055,SAP/SF US,,,,
COLUMBUS_MCKINNON*T&M,Columbus McKinnon T&M,F055,SAP/SF US,,,,
COMET*SUPPORT,COMET - Support,F055,SAP/SF US,,,,
COMMSCOPE*ONB20,COMMSCOPE*ONBOARDING 2.0,F079,TIG,Staff Aug.,,USA,
COMMSCOPE*SUPPORT,TIG Commscope Consulting services,F079,TIG,Staff Aug.,Direct customer,USA,0
CONCORA*EXA_SUPPORT,CONCORA*EXA_SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
CONSOL_ENERG*DATA_ENTRY,Consol En:CON910 - Data Entry Solution -,F055,SAP/SF US,,,,
CONSUM_ENERG*EXALERATE,Consum Energy:CMS110 - Exalerate Ci Main,F055,SAP/SF US,,,,
CORNING*SET_UP,CORNIING COR000-Setup Fee/Custom Testing,F055,SAP/SF US,Project,Direct customer,USA,0
CRYOLIFE*LICENCE,EXASERV US CRYOLIFE LICENCE,F055,SAP/SF US,Licence,,,
CRYOLIFE*SUPPORT,Cryolife:CRY100 - Cryolife Support,F055,SAP/SF US,,,,
CURIO*PAYROLL_ADDITION,EXA*CURIO_PAYROLL_ADDITION,F055,SAP/SF US,,,,
CURIUM*BPO,EXASERV US CURIUM BPO,F055,SAP/SF US,,,,
CURIUM*CR01SP,EXASERV US CURIUM*CR01SP,F055,SAP/SF US,,,,
CURIUM*CR041,EXASERV US CURIUM*CR041,F055,SAP/SF US,,,,
CURIUM*LICENCES,EXASERV US CURIUM LICENCES,F055,BPO,Licence,Direct customer,USA,0
DAWN_FOODS*SUPPORT,TIG Dawn foods Consulting services,F079,TIG,Staff Aug.,,USA,
DAY&ZIM*FEES,Day & Zimmerman:DAY - HIPAA Fees,F055,SAP/SF US,,,,
DAY&ZIM*PMGM_COMP_PROJ,DAY&ZIM*PMGM_COMP_PROJ,F055,SAP/SF US,,,,
DAY&ZIM*SUPPORT,DAY&ZIM SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
DAY_ZIMM*EXA_PG_CHANGES,EXASERV US Day&ZIMMERMAN PG CHANGES,F055,SAP/SF US,,,,
DELTA*SUPPORT,EXASERV US DELTA AIRLINES SUPPORT,F055,SAP/SF US,,,,
DEXCOM*EXASERV_SUPPORT,TIG EXASERV DEXCOM AMS,F079,TIG,Staff Aug.,,USA,
DILIGENTE*SUPPORT,TIG Diligente Consulting services,F079,TIG,Staff Aug.,Direct customer,USA,0
DUTCHIE*NUBO_PROJ,EXASERV Dutchie NUBO PROJECT,F055,SAP/SF US,,,,
DUTCHIE*SUPPORT,EXASERV Dutchie SUPPORT,F055,SAP/SF US,,,,
ECHELON*CROWN100,ECHELON EXASERV INC CROWN100,F055,SAP/SF US,,,,
EIKON_COMP*PROJECT,EXASERV US EIKON COMP PROJECT,F055,SAP/SF US,,,,
ENTERGY*SUPPORT,EXASERV US ENTERGY SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EPLAN*TIG,TIG EPLAN,F079,TIG,Staff Aug.,,USA,
Evident ONB &RCM,Evident ONB &RCM,F055,SAP/SF US,Project,Direct customer,USA,
EVIDENT*AMS,EVIDENT*AMS,F055,SAP/SF US,,,,
EVIDENT*CHANGE_MANAGEMEN,EVIDENT EXA CHANGE MANAGEMENT,F055,Advise,Project,Direct customer,USA,0
EVIDENT*EMEA_AMS,EVIDENT EMEA AMS,F055,SAP/SF US,AMS,Direct customer,USA,0
EVIDENT*EXA*SUPPORT,EVIDENT EXA CPI SUPPORT,F055,SAP/SF US,,,,
EVIDENT*EXA_MERGE_PROJ,EVIDENT EXA MERGE PROJECT,F055,SAP/SF US,,,,
EXA*3PS,EXAUS W/ 3PLUS,F055,SAP/SF US,,Intercos Outside NA,,
EXA*3PS_CERBERUS_AMS,EXAUS W/ 3PLUS CERBERUS AMS,F055,SAP/SF US,,Intercos Outside NA,,
EXA*3PS_GLENCORE_AMS,EXAUS W/ 3PLUS GLENCORE AMS,F055,SAP/SF US,,Intercos Outside NA,,
EXA*3PS_HALMA_AMS,EXAUS W/ 3PLUS HALMA AMS,F055,Workday,,Intercos Outside NA,,
EXA*3PS_HALMA_NB,EXAUS W/ 3PLUS HALMA NB,F055,Workday,,Intercos Outside NA,,
EXA*3PS_HALMA_TIER3,EXAUS W/ 3PLUS HALMA TIER3,F055,Workday,,Intercos Outside NA,,
AVHRC*EXASERV,AVENUE HR CANADA EXASERV INC,F037,SAP/SF CA,,Intercos North America,,
EXA*3PS_LORE_AMS,EXAUS W/ 3PLUS LORE AMS,F055,SAP/SF US,,Intercos Outside NA,,
EXA*3PS_MONDELEZ,EXAUS W/ 3PLUS MONDELEZ,F055,Workday,Project,Intercos Outside NA,EUROPE,0
EXA*3PS_NRF_AMS,EXAUS W/ 3PLUS NRF AMS,F055,SAP/SF US,,Intercos Outside NA,,
EXA*3PS_PATRIZA_AMS,EXAUS W/ 3PLUS PATRIZA AMS,F055,SAP/SF US,,Intercos Outside NA,,
EXA*ADVICS_COMP,EXASERV ADVICS COMP,F055,SAP/SF US,Licence,Direct customer,USA,0
EXA*ADVICS_SUPPORT,EXASERV ADVICS SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*ADVICS_T&M,EXASERV ADVICS T&M,F055,SAP/SF US,,,,
EXA*AMETEK_DEMO_INTE,EXASERV AMETEK DEMO INTEGRATIONS,F055,SAP/SF US,AMS,,,
EXA*APPLIED_WD_AMS,EXASERV APPLIED WD AMS,F055,Workday,AMS,Direct customer,USA,0
EXA*BANCO_EXE_SUPPORT,EXASERV BANCO EXECUTIVE SUPPORT,F055,SAP/SF US,,,,
EXA*BANCO_RCM_PROJECT,EXA*BANCO_RCM_PROJECT,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*BWXT_ONBOARDING,EXA*BWXT_ONBOARDING,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*CBL_IDEMIA_PROJSF,EXAUS WORKS CBL IDEMIA PROJET SF,F055,SAP/SF CA,,,,
EXA*CBL_IDEMIA_RECRUIT,EXAUS WORKS CBL IDEMIA RECRUIT,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*CHART_ONB_2.0,EXASERV CHART ONB 2.0,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*CURIO_MPS,EXA CURIO MPS,F055,BPO,BPO,Direct customer,USA,0
EXA*CURIO_MPS_2,Curio Benefitfocus Licenses,F055,SAP/SF US,Licence,,USA,
EXA*CURIO_PHASE2,EXA CURIO PHASE 2,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*CURIO_SUPPORT,EXA CURIO SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*ESI_PROJ_RECRUT,EXASERV ESI PROJECT RECRUITING,F055,SAP/SF US,,,,
EXA*ESI_SUPPORT,EXA*ESI_SUPPORT,F055,SAP/SF US,AMS,,,
EXA*EVIDENT_GLOB_EC_T&M,EXASERV EVIDENT GLOBAL EC T&M,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*EVIDENT_INTEGRATION,EVIDENT INTEGRARTION,F055,SAP/SF US,,,,
EXA*FALL_CREEK_PROJECT,EXA*FALL_CREEK_PROJECT,F055,SAP/SF US,Project,Direct customer,0,0
EXA*FGI*AGILE_ROBOTS,EXA*FGI*AGILE_ROBOTS,F055,SAP/SF US,,,,
EXA*GAIUS_BURCKHARDT,EXASERV W/ GAIUS BURCKHARDT,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*GAIUS_BUSCH,EXASERV W/ GAIUS_BUSCH US IMPLEMENTATION,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*GAIUS_CHAIN_IQ,EXASERV W/ GAIUS CHAIN IQ,F055,SAP/SF US,,,,
EXA*GAIUS_DE_D&B,EXAUS W/ GAIUS DE D&B,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*GAIUS_DE_D&B_NB,EXAUS W/ GAIUS DE D&B NB,F055,SAP/SF US,,,,
EXA*GAIUS_IDORSIA,EXASERV W/ GAIUS_IDORSIA,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*GAIUSCH*NOVOCURE,EXA*GAIUSCH*NOVOCURE COMP PMGM,F055,SAP/SF US,,,,
EXA*GQR_IMPLEM_WD,EXASERV GQR IMPLEMENTATION WORKDAY,F055,Workday,,,,
EXA*GRACE_KEN_ONB_2,EXASERV GRACE KENNEDY ONB 2.0,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*GRAHAM_PAYROLL_CHANG,EXASERV GRAHAM PAYROLL CHANGES,F055,SAP/SF US,,,,
EXA*HAWORTH_COMP_PROJ,EXASERV HAWORTH COMP PROJ,F055,SAP/SF US,,,,
EXA*HERSHEY_JPB_ARCHITEC,EXASERV HERSHEY JPB ARCHITECTURE,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*HEXION_PAYROLL_SUPP,EXA*HEXION_PAYROLL_SUPPORT,F055,SAP/SF US,Project,,,
EXA*HOLTEC_CORP_SUPPORT,EXA*HOLTEC_CORPORATE_SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*HOLTEC_LMS,EXASERV HOLTEC LMS,F055,SAP/SF US,,,,
EXA*HOLTEC_LMS_T&M,EXASERV HOLTEC LMS T&M,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*HOLTEC_RECRUITING,EXASERV HOLTEC RECRUITING,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*HOLTEC_SUPPORT,EXASERV HOLTEC SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*HRBE*FEBELCO_NUBO_IM,HRP US w/ HRP BE FEBELCO NUBO IMPLEMENT,F055,SAP/SF US,,,,
EXA*HRP_BABILOUWD_SUP_SE,EXASERV W/ HRP BABILOU WD SUPPORT SERVI,F055,Workday,,,,
EXA*HRP_CERTIF_WD,EXASERV W/ HRP CERTFICATION WD,F055,Workday,,,,
EXA*HRP_DELIVERY_HERO,EXASERV W/ HRP DELIVERY HERO,F055,SAP/SF US,,,,
EXA*HRP_FRAMEWORK_INTEG,EXAUS W/ HRP_INTEGRATION FRAMEWORK,F055,SAP/SF US,AMS,,,
EXA*HRP_GOOGLE,EXASERV W/ HRP GOOGLE,F055,SAP/SF US,,,,
EXA*HRP_LISIWD_PROJET_US,EXASERV W/ HRP LISI WD PROJET US,F055,Workday,,,,
EXA*HRP_TOTAL_QUALTRICS,EXASERV W/ HRP TOTAL QUALTRICS,F055,SAP/SF US,,,,
EXA*HRP_VINCI_AUDIT,EXASERV W/ HRP VINCI AUDIT,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*HRP_YOKOGAWA_REL,EXASERV W/ HRP YOKOGAWA_REL,F055,SAP/SF US,,,,
EXA*HRPBE*ADMIN,HRP US w/ HRP BE ADMIN,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*HRPBE*NUBO3.0,HRP US w/ HRP BE NUBO 3.0,F055,SAP/SF US,,,,
EXA*HRPBE*QSRP_SUPPORT,HRP US w/ HRP BE QSRP SUPPORT,F055,SAP/SF US,AMS,Intercos Outside NA,EUROPE,0
EXA*HRPBE*SYNCORDIS_SAP,HRP US w/ HRP BE SYNCORDIS SAP SF,F055,SAP/SF US,,,,
EXA*HRPBE_EIT_FOOD_NUBO,HRP US w/ HRP BE EIT FOOD NUBO,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*HRPBE_EIT_FOOD_SUPP,HRP US w/ HRP BE EIT FOOD SUPPORT,F055,SAP/SF US,,,,
EXA*HRPBE_QSRP_NUBO_IMPL,HRP US w/ HRP BE QSRP NUBO IMPL,F055,SAP/SF US,Project,Intercos Outside NA,EUROPE,0
EXA*HRPC*LION_ELEC_BENEF,EXASERV / HRP CAN LION ELEC BENEFITS,F055,SAP/SF US,,,,
EXA*HRPC*MAGELLAN,EXA*HRPC*MAGELLAN,F055,Workday,AMS,Intercos North America,Canada,
EXA*HRPC*MELOCHE_P2,EXA w/ HRP CANADA MELOCHE PHASE 2,F055,Workday,Project,Intercos North America,Canada,0
EXA*HRPC*MELOCHE_P3,EXA*HRPC*MELOCHE_P3,F055,Workday,,Intercos North America,,
EXA*HRPC*PCL_CONST_STORY,EXA*HRPC*PCL_CONST_STORY,F055,SAP/SF US,,,,
EXA*HRPC_IESO,EXASERV W/ HRPC IESO,F055,SAP/SF US,Project,,,
EXA*HRPC_NRM_AMES_SUP,EXA*HRPC_NRM_AMES_SUP,F055,SAP/SF US,AMS,,,
EXA*HRPC_NRM_COMP&V-PAY,EXA*HRPC_NRM_COMP&V-PAY,F055,SAP/SF US,,,,
EXA*HRPC_NRM_ECP_P1,EXASERV W/ HRPC NRM ECP P1,F055,SAP/SF US,,,,
EXA*HRPC_NRM_ECP_P2,EXASERV W/ HRPC NRM ECP P2,F055,SAP/SF US,,,,
EXA*HRPC_SASK_AMES_SUP,EXASERV W/ HRPC_SASKPOWER_AMES_SUP,F055,SAP/SF US,AMS,,,
EXA*HRPC_SOFTCHOICE_AMES,EXA*HRPC_SOFTCHOICE_AMES,F055,SAP/SF US,AMS,,,
EXA*HRPC_WORKJAM_SF,EXASERV W/ HRPC_WORKJAM_SF,F055,SAP/SF CA,,,,
EXA*HRPCH*NOVOCURE_SUPP,EXA*HRPCH*NOVOCURE_SUPPORT,F055,SAP/SF US,AMS,Intercos Outside NA,,
EXA*HRPWD_SPHEROS_PROJ,EXASERV W/ HRP WD SPHEROS PROJECT,F055,Workday,,,,
EXA*INGERSOLL_RAND_ONB_2,EXASERV INGERSOLL RAND ONB 2.0,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*INGERSOLL_RAND_T&M,EXASERV INGERSOLL RAND T&M,F055,SAP/SF US,,,,
EXA*INGERSOLL_RAND_TRAIN,EXA*INGERSOLL_RAND_TRAINING,F055,SAP/SF US,,,,
EXA*INGERSOLL_REPORTING,EXASERV INGERSOLL RAND REPORTING,F055,SAP/SF US,,,,
EXA*INGY*CHECKERS_AMS_SF,EXA*INRGY*CHK_AMS_SF,F055,SAP/SF CA,,,,
EXA*INTEG_ACCIONA,EXAUS W/ INTEGRA ACCIONA,F055,SAP/SF US,,,,
EXA*JANUS_HR_TRANSFO_2,EXASERV JANUS HR TRANSFORMATION PHASE 2,F055,SAP/SF CA,,,,
EXA*JANUS_LICENSES,EXASERV JANUS LICENSES,F055,SAP/SF US,Licence,Direct customer,USA,0
EXA*KEYENCE_SUPPORT,EXASERV KEYENCE_SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*MEDIA_OCEAN_P1,EXA*MEDIA_OCEAN_P1,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*MEDIA_OCEAN_P2,EXASERV MEDIA OCEAN PHASE 2,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*MEDIA_OCEAN_SUPPORT,EXASERV MEDIA OCEAN SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*NAL_ONBOARDING,EXA*NAL_ONBOARDING,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*NORTHSIDE_SUPPORT,EXASERV NORTHSIDE SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*NSI_GOAL_CASCADE,EXASERV NSI GOAL CASCADE PROJECT,F055,SAP/SF US,,,,
EXA*NSI_INSTANCE_SPLILT,EXASERV NSI INSTANCE SPILT,F055,SAP/SF US,,,,
EXA*OCTAPHARMA,EXASERV OCTAPHARMA T&M,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*OCTAPHARMA_P1,EXASERV OCTAPHARMA P1,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*OCTAPHARMA_PH_2_T&M,EXASERV OCTAPHARMA PHASE 2 T&M,F055,SAP/SF US,,,,
EXA*OCTAPHARMA_PHASE_0,EXASERV OCTAPHARMA PHASE 0,F055,SAP/SF US,,,,
EXA*OCTAPHARMA_PHASE_2,EXASERV OCTAPHARMA PHASE 2,F055,SAP/SF US,,,,
EXA*OCTAPHARMA_SUPPORT,EXASERV OCTAPHARMA SUPPORT,F055,SAP/SF US,AMS,,,
EXA*OREGON_TOOL_ONB,EXASERV OREGON TOOL ONB,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*PERDUE_FARMS_AMS,EXA PERDUE FARMS AMS,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*PERDUE_R_INTEGRATION,EXA PERDUE RADANCY INTEGRATION,F055,SAP/SF US,,,,
EXA*PERDUE_RECRUT_ENHANC,EXA PERDUE RECRUT ENHANCEMENT PROJECT,F055,SAP/SF US,,,,
EXA*PSYCHOGENICS_PAHSE_2,*PSYCHOGENICS_PAHSE_2PHASE 2,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*PSYCHOGENICS_PAY_INT,EXA*PSYCHOGENICS_PAY_INT,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*PWW_IAS_PROJECT,EXA*PWW_IAS_PROJECT,F055,SAP/SF US,,,,
EXA*QUALFON_CHANGE_ORD_2,EXASERV QUALFON CHANGE ORDER 2,F055,SAP/SF US,,,,
EXA*QUALFON_ECP_PROJECT,EXASERV QUALFON ECP PROJECT,F055,SAP/SF US,,,,
EXA*QUALFON_ECP_T&M,EXASERV QUALFON ECP T&M,F055,SAP/SF US,,,,
EXA*QUALFON_ONB_2_0,EXASERV QUALFON ONB 2.0 HEALTH CHECK,F055,SAP/SF US,,,,
EXA*QUALFON_PHI_SUPPORT,EXASERV QUALFON PHILIPPINES SUPPORT,F055,SAP/SF US,,,,
EXA*QUALFON_SUPPORT,EXASERV QUALFON SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*ROUSH_SF_PROJECT,EXASERV ROUSH SF ENHANCEMENTS PROJ,F055,SAP/SF CA,,,,
EXA*ROUSH_SUPPORT,EXASERV ROUSH SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*SEALED_AIR_RPO_SUPP,EXASERV*SEALED_AIR RPO SUPPORT,F055,SAP/SF US,AMS,Direct customer,USA,0
EXA*SOJITZ_IMPLEM,EXASERV SOJITZ IMPLEM,F055,SAP/SF US,Project,Direct customer,USA,0
EXA*SOJITZ_T&M,EXASERV SOJITZ T&M,F055,SAP/SF US,,,,
EXA*SPARTON_SUPPORT,EXASERV SPARTON SUPPORT,F055,SAP/SF US,,,,
EXA*SPX_REPORTS,EXASERV SPX REPORTS,F055,SAP/SF US,,,,
EXA*TARGA_LMS_POJECT,EXASERV TARGA LMS PORJECT,F055,SAP/SF US,,,,
EXA*TARGA_RESSOURCES_LMS,EXASERV TARGA RESSOURCE SLMS,F055,SAP/SF US,,,,
EXA*TIG*ARKEMA,EXA*TIG*ARKEMA,F055,SAP/SF US,,Intercos North America,,
EXA*TIG*LUCID_COMP_ENHAN,EXA*TIG*LUCID_COMP_ENHANCEMENT,F055,SAP/SF US,Project,Intercos North America,USA,0
EXA*TIG_COMMSCOP_ONB_PRO,EXAUS WORKS TIG Commscope onb project,F055,SAP/SF US,Project,Intercos North America,USA,0
