Project definition,WBS element,Name,Profit center (BU),Company code,Company name,Revenue Type,Countries (End Client),Prov/State (End Client),Direct/Ind./Interco,Client Type (Sales Commissions),Sales Rep,% Commission,T&M / FIXED,Currency,Backlog/Pipeline,%,Amount in local currency,Posting Date,Scenario
COUNTY_WELLINGTON*HRPC,COUNTY_WELLINGTON*LIC_SF,HRP CANADA COUNTY WELLINGTON SF LICENCE,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,10394.0,2025-04-01,Actual
COUNTY_WELLINGTON*HRPC,COUNTY_WELLINGTON*SF_P2,HRP CANADA COUNTY WELLINGTON SF PHASE 2,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,15450.0,2025-04-01,Actual
CHART_HOWDEN*EXA,CHART_HOWDEN*EXA*PROJECT,EXA CHART HOWDEN PROJECT,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,2047.5,2025-04-01,Actual
CHART_IND*EXASERV_INC,CHART_IND*CHT200_SUPPORT,CHART IND - EXA - CHT200 SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,14636.75,2025-04-01,Actual
CHART_QUALTRICS*EXA,CHART_QUALTRICS*EXA*PROJ,EXA CHART QUALTRICS PROJECT,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,4810.0,2025-04-01,Actual
CIRRUS*EXASERV,CIRRUS*EXA_COMP,CIRRUS*EXA_COMP,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,11064.0,2025-04-01,Actual
CIRRUS*EXASERV,CIRRUS*EXA_LMS_PROJECT,CIRRUS*EXA_LMS_PROJECT,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,5903.0,2025-04-01,Actual
CIRRUS*EXASERV,CIRRUS*EXA_SUPPORT,CIRRUS*EXA_SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,7262.25,2025-04-01,Actual
EDC*INTALENT,EDC*PROJ,INTALENT EDC PROJ,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Direct customer,0,Mathieu,,0,CAD,Backlog,,382.11,2025-04-01,Actual
ESFOX*HRPC*PROJECT,ESFOX*HRPC*AMES,HRP CANADA ESFOX AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Dan Whitmarsh,,FIXED PRICE,CAD,Backlog,,2000.0,2025-04-01,Actual
ETS_RECHERCHE*INTALENT,ETS_RECHERCHE*PROJ,INTALENT ETS RECHERCHE PROJ,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Direct customer,0,Mathieu,,0,CAD,Backlog,,1050.0,2025-04-01,Actual
CLARKSTON*NUBO_IMPLEM,CLARKSTON*SUPPORT,EXASERV US CLARKSTON SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,3300.0,2025-04-01,Actual
COLUMBUS*EXA,COLUMBUS_MCKINNON*AMS,Columbus McKinnon AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,334.0,2025-04-01,Actual
TIG*COMMSCOPE,COMMSCOPE*SUPPORT,TIG Commscope Consulting services,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Direct customer,0,0,,0,USD,Backlog,,30340.0,2025-04-01,Actual
CORNING*EXASERV_INC,CORNING*SET_UP,CORNIING COR000-Setup Fee/Custom Testing,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,3200.0,2025-04-01,Actual
CURIUM*EXASERV,CURIUM*LICENCES,EXASERV US CURIUM LICENCES,BPO,F055,HRPATH USA,Licence,USA,0,Direct customer,0,0,,0,USD,Backlog,,4590.8,2025-04-01,Actual
DAY&ZIM*EXASERV_INC,DAY&ZIM*SUPPORT,DAY&ZIM SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,546.0,2025-04-01,Actual
TIG*DILIGENTE,DILIGENTE*SUPPORT,TIG Diligente Consulting services,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Direct customer,0,0,,0,USD,Backlog,,17600.0,2025-04-01,Actual
ENTERGY*EXASERV_INC,ENTERGY*SUPPORT,EXASERV US ENTERGY SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,5640.0,2025-04-01,Actual
EVIDENT*EMEA_AMS,EVIDENT*EMEA_AMS,EVIDENT EMEA AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,192.0,2025-04-01,Actual
EXASERV_US*WORKS,EXA*3PS_HALMA_AMS,EXAUS W/ 3PLUS HALMA AMS,Workday,F055,HRPATH USA,,,,Intercos Outside NA,,,,,USD,Backlog,,7865.16,2025-04-01,Actual
EXA*ADVICS,EXA*ADVICS_COMP,EXASERV ADVICS COMP,SAP/SF US,F055,HRPATH USA,Licence,USA,0,Direct customer,0,0,,0,USD,Backlog,,9024.0,2025-04-01,Actual
APPLIED*EXASERV_INC,EXA*APPLIED_WD_AMS,EXASERV APPLIED WD AMS,Workday,F055,HRPATH USA,AMS,USA,,Direct customer,0,0,,0,USD,Backlog,,5347.5,2025-04-01,Actual
WT_PROJECTS*EXASERV_INC,EXA*BWXT_ONBOARDING,EXA*BWXT_ONBOARDING,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,22860.0,2025-04-01,Actual
EXASERV_US*WORKS,EXA*CBL_IDEMIA_RECRUIT,EXAUS WORKS CBL IDEMIA RECRUIT,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,601.52,2025-04-01,Actual
CHART_IND*EXASERV_INC,EXA*CHART_ONB_2.0,EXASERV CHART ONB 2.0,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,24297.5,2025-04-01,Actual
EXASERV_US*WORKS,EXA*GAIUS_BURCKHARDT,EXASERV W/ GAIUS BURCKHARDT,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,548.33,2025-04-01,Actual
EXASERV_US*WORKS,EXA*GAIUS_BUSCH,EXASERV W/ GAIUS_BUSCH US IMPLEMENTATION,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,3788.78,2025-04-01,Actual
EXASERV_US*WORKS,EXA*GAIUS_DE_D&B,EXAUS W/ GAIUS DE D&B,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,3227.51,2025-04-01,Actual
WT_PROJECTS*EXASERV_INC,EXA*HERSHEY_JPB_ARCHITEC,EXASERV HERSHEY JPB ARCHITECTURE,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,27202.5,2025-04-01,Actual
EXA*HOLTEC_LMS,EXA*HOLTEC_LMS_T&M,EXASERV HOLTEC LMS T&M,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,8507.5,2025-04-01,Actual
EXA*HOLTEC_LMS,EXA*HOLTEC_RECRUITING,EXASERV HOLTEC RECRUITING,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,27585.0,2025-04-01,Actual
EXA*HOLTEC_LMS,EXA*HOLTEC_SUPPORT,EXASERV HOLTEC SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,1250.0,2025-04-01,Actual
EXASERV_US*WORKS,EXA*HRPBE*ADMIN,HRP US w/ HRP BE ADMIN,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,1701.97,2025-04-01,Actual
EXASERV_US*WORKS,EXA*HRPBE_EIT_FOOD_NUBO,HRP US w/ HRP BE EIT FOOD NUBO,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,1053.94,2025-04-01,Actual
EXASERV_US*WORKS,EXA*HRPBE_QSRP_NUBO_IMPL,HRP US w/ HRP BE QSRP NUBO IMPL,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,1856.87,2025-04-01,Actual
EXA*INGERSOLL_RAND_ONB_2,EXA*INGERSOLL_RAND_ONB_2,EXASERV INGERSOLL RAND ONB 2.0,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,6299.0,2025-04-01,Actual
MEDIA_OCEAN*EXASERV,EXA*MEDIA_OCEAN_P1,EXA*MEDIA_OCEAN_P1,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,10757.5,2025-04-01,Actual
NAL_LMS*EXASERV_INC,EXA*NAL_ONBOARDING,EXA*NAL_ONBOARDING,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,8588.0,2025-04-01,Actual
EXA*NORTHSIDE_SUPPORT,EXA*NORTHSIDE_SUPPORT,EXASERV NORTHSIDE SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,350.0,2025-04-01,Actual
EXA*OCTAPHARMA,EXA*OCTAPHARMA,EXASERV OCTAPHARMA T&M,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,13772.5,2025-04-01,Actual
EXA*OCTAPHARMA,EXA*OCTAPHARMA_P1,EXASERV OCTAPHARMA P1,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,78587.0,2025-04-01,Actual
HRP_US*OREGON,EXA*OREGON_TOOL_ONB,EXASERV OREGON TOOL ONB,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,30395.0,2025-04-01,Actual
HRP_US*PERDUE,EXA*PERDUE_FARMS_AMS,EXA PERDUE FARMS AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,86.0,2025-04-01,Actual
PSYCHOGENICS*EXASERV,EXA*PSYCHOGENICS_PAHSE_2,*PSYCHOGENICS_PAHSE_2PHASE 2,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,7236.38,2025-04-01,Actual
EXA*QUALFON,EXA*QUALFON_SUPPORT,EXASERV QUALFON SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,4100.0,2025-04-01,Actual
EXA*ROUSH_SF_PROJECT,EXA*ROUSH_SUPPORT,EXASERV ROUSH SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,4950.0,2025-04-01,Actual
EXASERV*SEALED_AIR_TRS,EXA*SEALED_AIR_RPO_SUPP,EXASERV*SEALED_AIR RPO SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,2600.0,2025-04-01,Actual
EXASERV*SOJITZ,EXA*SOJITZ_IMPLEM,EXASERV SOJITZ IMPLEM,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,7569.0,2025-04-01,Actual
EXASERV_US*WORKS,EXA*TIG_COMMSCOP_ONB_PRO,EXAUS WORKS TIG Commscope onb project,SAP/SF US,F055,HRPATH USA,Project,USA,0,Intercos North America,0,0,,0,USD,Backlog,,5661.14,2025-04-01,Actual
EXASERV_US*WORKS,EXA*TIG_GENTHERM_SUPPORT,EXA US works TIG GENTHERM SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Intercos North America,0,0,,0,USD,Backlog,,321.28,2025-04-01,Actual
EXASERV_US*WORKS,EXA*TIG_HUBBELL_SUPPORT,EXASERV US TIG HUBBELL SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Intercos North America,0,0,,0,USD,Backlog,,1460.97,2025-04-01,Actual
EXASERV_US*WORKS,EXA*TIG_INTERNAL,EXAUS WORKS TIG INTERNAL,SAP/SF US,F055,HRPATH USA,Project,USA,0,Intercos North America,0,0,,0,USD,Backlog,,5695.94,2025-04-01,Actual
EXASERV_US*WORKS,EXA*TIG_METALLUS_SUPPORT,EXASERV US TIG METALLUS SUPPORT,TIG,F055,HRPATH USA,AMS,,,Intercos North America,,,,,USD,Backlog,,4720.59,2025-04-01,Actual
EXASERV_US*WORKS,EXA*TIG_ODYSSEY_SUPPORT,EXAUS WORKS TIG odyssey support,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Intercos North America,0,0,,0,USD,Backlog,,4091.67,2025-04-01,Actual
EXASERV_US*WORKS,EXA*TIG_PARADOX_AI,EXAUS WORKS TIG PARADOX AI,SAP/SF US,F055,HRPATH USA,Project,USA,0,Intercos North America,0,0,,0,USD,Backlog,,5016.63,2025-04-01,Actual
EXASERV_US*WORKS,EXA*WD_CHANEL_AMS,DXASERV W/ WD CHANEL AMS,Workday,F055,HRPATH USA,AMS,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,11088.68,2025-04-01,Actual
EXASERV_US*WORKS,EXA*WD_KYRIBA_PROJECT,EXASERV W/ HRP WD KYRIBA PROJECT,Workday,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,7233.44,2025-04-01,Actual
EXASERV*WOODGRAIN,EXA*WOODGRAIN_ECP,EXASERV WOODGRAIN ECP,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,15513.0,2025-04-01,Actual
EXASERV*WOODGRAIN,EXA*WOODGRAIN_ECP_T&M,EXASERV WOODGRAIN ECP T&M,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,500.0,2025-04-01,Actual
EXASERV*WOODGRAIN,EXA*WOODGRAIN_WFS,EXASERV WOODGRAIN WFS,Workforce,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,7640.0,2025-04-01,Actual
EXASERV_US*WORKS,EXA_US*TIG_LUCID_SUPPORT,EXAUS WORKS TIG LUCID SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Intercos North America,0,0,,0,USD,Backlog,,2219.21,2025-04-01,Actual
EXASERV_US*WORKS,EXA_US*TIG_WALGREENS*SUP,EXASERV US TIG WALGREENS*SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Intercos North America,0,0,,0,USD,Backlog,,284.67,2025-04-01,Actual
EXASERV_US*WORKS,EXASERV*CBL_FAURECIA,HRP US w/ HRP CBL FAURECIA,SAP/SF US,F055,HRPATH USA,Project,EUROPE,e,Intercos Outside NA,0,0,,0,USD,Backlog,,552.04,2025-04-01,Actual
EXASERV*CURIO_PROJECT,EXASERV*CURIO_PROJECT,EXA CURIO PROJECT,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,64601.0,2025-04-01,Actual
EXASERV*CURIO_PROJECT,EXASERV*CURIO_T&M,EXA CURIO T&M,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,34910.0,2025-04-01,Actual
EXASERV*SOJITZ,EXASERV*SOJITZ_SUPPORT,EXASERV SOJITZ SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,29350.0,2025-04-01,Actual
VERANO*EXASERV,EXASERV*VERANO_MPS,EXASERV VERANO MPS,BPO,F055,HRPATH USA,BPO,USA,0,Direct customer,0,0,,0,USD,Backlog,,57098.25,2025-04-01,Actual
EXASERV*VISKASE,EXASERV*VISKASE_PAHSE_1,EXASERV VISKASE PHASE 1,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,25047.0,2025-04-01,Actual
EXASERV_US*NB,EXASERV_US*ADMIN,EXASERV_US*NB ADMIN,Workforce,F055,HRPATH USA,Project,Canada,0,Intercos North America,0,0,,0,USD,Backlog,,29143.76,2025-04-01,Actual
EXASERV_US*NB,EXASERV_US*BUSINESS,EXASERV_US*NB BUSINESS,Admin,F055,HRPATH USA,,,,,,,,,USD,Backlog,,-438.55,2025-04-01,Actual
EXASERV_US*NB,EXASERV_US*CCFLEX,EXASERV_US*CC FLEX,SAP/SF US,F055,HRPATH USA,Licence,,,,,,,,USD,Backlog,,59171.19,2025-04-01,Actual
EXASERV_US*NB,EXASERV_US*CODEBOT,EXASERV_US* CODEBOT,SAP/SF US,F055,HRPATH USA,Project,EUROPE,0,Intercos Outside NA,0,0,,0,USD,Backlog,,59480.16,2025-04-01,Actual
EXASERV_US*WORKS,EXASERV_US*TIG_HILMAR,EXAUS WORKS TIG HILMAR,SAP/SF US,F055,HRPATH USA,Project,USA,0,Intercos North America,0,0,,0,USD,Backlog,,42.31,2025-04-01,Actual
EXASERV_US*WORKS,EXASERV_US*TIG_NETJETS,EXAUS WORKS TIG NETJETS,SAP/SF US,F055,HRPATH USA,Project,USA,0,Intercos North America,0,0,,0,USD,Backlog,,105.77,2025-04-01,Actual
EXASERV_US*WORKS,EXAUS*CBL_CURIUM_CR,EXAUS WORKS CBL_CURIUM_CHANGE REQUESTS,BPO,F055,HRPATH USA,BPO,USA,0,Direct customer,0,0,,0,USD,Backlog,,19925.8,2025-04-01,Actual
GEOSOURCE,GEOSOURCE*LIC_SF,HRP CANADA GEOSOURCE LICENCE SAP,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,674.96,2025-04-01,Actual
GROUPEX*IC_WORKS,F086*F037*DOMTAR*UKG,F086*F037*Domtar*UKG,UKG,F086,GroupeX Limited,,,,Intercos North America,,,,,CAD,Backlog,,40878.34,2025-04-01,Actual
GROUPEX*IC_WORKS,F086*F037*LOOKOUT*WFS,F086*F037*Lookout*WFS,Workforce,F086,GroupeX Limited,,,,Intercos North America,,,,,CAD,Backlog,,6012.86,2025-04-01,Actual
GROUPEX*IC_WORKS,F086*F079*NETJETS*WFS,F086*F079*NetJets*WFS,Workforce,F086,GroupeX Limited,,,,Intercos North America,,,,,CAD,Backlog,,699.97,2025-04-01,Actual
GROUPEX*IC_WORKS,F086*F095*CHR*CHR,F086*F095*CHR*CHR,Workforce,F086,GroupeX Limited,,,,Intercos North America,,,,,CAD,Backlog,,5892.54,2025-04-01,Actual
GROUPEX*IC_WORKS,F086*F055*WOODGRAIN*WFS,Exaserv Woodgrain WFS SOW 1,Workforce,F086,GroupeX Limited,,,,Intercos North America,,,,,CAD,Backlog,,1627.5,2025-04-01,Actual
GROUPEX*PROJECT,ASRC*WFS_SOW 2,ASRC Energy Services:Alaska WFS AMS SOW,Workforce,F086,GroupeX Limited,,,,,,,,,CAD,Backlog,,15101.53,2025-04-01,Actual
GROUPEX*PROJECT,ATS*SF_AMS_SOW26,ATS Automation Tooling Systems Inc:ATS S,SAP/SF CA,F086,GroupeX Limited,,,,,,,,,CAD,Backlog,,19680.0,2025-04-01,Actual
